Chapter,Verse,Sanskrit verse,Translation (English),Hinglish (1),Hinglish (2),Summary,Source ID,Reference,message,tags
1,1,धृतराष्ट्र उवाच धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय,"Dhritarashtra said: O Sanjay, after gathering on the holy field of Kurukshetra, and desiring to fight, what did my sons and the sons of Pandu do?","Dhritarashtra said: Sanjay, jab mere bete aur Pandu ke bete Kurukshetra mein yudh ke liye aaye, to uss waqt woh kya kar rahe the?","Dhritarashtra ne poochha: Hey Sanjay, us pavitra zameen Kurukshetra par, jab mere aur Pandu ke bete ladne ke liye ikattha hue, toh unhone aakhir kya kiya?","The blind king’s attachment to his sons clouded his judgement. Despite the certainty of war, he asked what both sides were doing, fearing the holy place might inspire peace, which he did not want.",GITA_01_01,Gita 1.1,"धृतराष्ट्र उवाच धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय
Dhritarashtra said: O Sanjay, after gathering on the holy field of Kurukshetra, and desiring to fight, what did my sons and the sons of Pandu do?
Dhritarashtra said: Sanjay, jab mere bete aur Pandu ke bete Kurukshetra mein yudh ke liye aaye, to uss waqt woh kya kar rahe the?","family conflict, anxiety, confusion"
1,2,सञ्जय उवाच दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा आचार्यमुपसंगम्य राजा वचनमब्रवीत्,"Sanjay said: O King, after observing the Pandava army arranged in military formation, King Duryodhana approached his teacher Dronacharya and spoke the following words.","Sanjay said: Raja, Pandav sena ki formation dekhkar Duryodhan guru Drona ke paas gaye.","Sanjay ne kaha: Pandavo ki sena ko fauji formation mein dekhkar, Raja Duryodhan apne guru Dronacharya ke paas gaye aur yeh baatein kahin.","Noting the Pandava formation, Duryodhana sought counsel from his mentor, revealing both awareness and concern.",GITA_01_02,Gita 1.2,"सञ्जय उवाच दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा आचार्यमुपसंगम्य राजा वचनमब्रवीत्
Sanjay said: O King, after observing the Pandava army arranged in military formation, King Duryodhana approached his teacher Dronacharya and spoke the following words.
Sanjay said: Raja, Pandav sena ki formation dekhkar Duryodhan guru Drona ke paas gaye.","anxiety, office politics, fear"
1,3,पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता,"Behold, O teacher, this mighty army of the sons of Pandu, arrayed by the son of Drupada, your wise disciple.","Duryodhan: Guruji, dekhiye Pandavon ki yeh shaktishaali sena jo Drupad-putra (Dhrishtadyumna), aapka buddhimaan shishya, ne formulate ki hai.","""Hey Guru, dekhiye Pandu ke beton ki is vishaal sena ko, jise aapke hi hoshiyaar chele, Drupad ke bete ne, taiyaar kiya hai.""","Duryodhana points out that the Pandava army has been arranged by Dhrishtadyumna, ironically trained by Drona himself.",GITA_01_03,Gita 1.3,"पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता
Behold, O teacher, this mighty army of the sons of Pandu, arrayed by the son of Drupada, your wise disciple.
Duryodhan: Guruji, dekhiye Pandavon ki yeh shaktishaali sena jo Drupad-putra (Dhrishtadyumna), aapka buddhimaan shishya, ne formulate ki hai.","office politics, negative thoughts, jealousy"
1,4,अत्र शूरा महेष्वासा भीमार्जुनसमा युधि युयुधानो विराटश्च द्रुपदश्च महारथः,"Here in this army are many heroic bowmen equal in fighting to Bhima and Arjuna: Yuyudhana, Virata, and the great chariot-warrior Drupada.","Duryodhan: is sena me bahut shoorveer dhanurdhar hain jo Bhim aur Arjun ke barabar ladein – jaise Yuyudhan, Virat aur maharathi Drupad.","""Is sena mein Bheem aur Arjun jaise bade-bade yoddha hain. Yahan Yuyudhan, Virat, aur Drupad jaise maharathi bhi hain.""",Duryodhana lists formidable warriors on the Pandava side to underscore their strength.,GITA_01_04,Gita 1.4,"अत्र शूरा महेष्वासा भीमार्जुनसमा युधि युयुधानो विराटश्च द्रुपदश्च महारथः
Here in this army are many heroic bowmen equal in fighting to Bhima and Arjuna: Yuyudhana, Virata, and the great chariot-warrior Drupada.
Duryodhan: is sena me bahut shoorveer dhanurdhar hain jo Bhim aur Arjun ke barabar ladein – jaise Yuyudhan, Virat aur maharathi Drupad.","stress, anxiety"
1,5,धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुंगवः,"There are also great heroes like Dhrishtaketu, Chekitana, the valiant king of Kashi, Purujit, Kuntibhoja, and Shaibya, the best of men.","Duryodhan: Aur bhi mahan yoddha hain jaise Dhrishtaketu, Chekitana, shaktishali Kashi raja, Purujit, Kuntibhoj, aur Shaibya.","""Yahan Dhrishtaketu, Chekitan, Kashi ke shaktishali raja, Purujit, Kuntibhoj aur Shaibya jaise mahaan log bhi maujood hain.""","He continues listing experienced warriors, showing concern about Pandava strength.",GITA_01_05,Gita 1.5,"धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुंगवः
There are also great heroes like Dhrishtaketu, Chekitana, the valiant king of Kashi, Purujit, Kuntibhoja, and Shaibya, the best of men.
Duryodhan: Aur bhi mahan yoddha hain jaise Dhrishtaketu, Chekitana, shaktishali Kashi raja, Purujit, Kuntibhoj, aur Shaibya.","stress, anxiety"
1,6,युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः,"There are the courageous Yudhamanyu, the valiant Uttamauja, Abhimanyu, son of Subhadra, and the sons of Draupadi—all great chariot-warriors.","Yudhamanyu, Uttamauja, Abhimanyu aur Draupadi ke putra – sabhi shaktishaali aur maharathi hain.","""Yahan parakrami Yudhamanyu, shaktishali Uttamauja, Subhadra ke bete Abhimanyu aur Draupadi ke paancho bete bhi hain - ye sabhi maharathi hain.""",He emphasizes that even the young fighters are highly capable.,GITA_01_06,Gita 1.6,"युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः
There are the courageous Yudhamanyu, the valiant Uttamauja, Abhimanyu, son of Subhadra, and the sons of Draupadi—all great chariot-warriors.
Yudhamanyu, Uttamauja, Abhimanyu aur Draupadi ke putra – sabhi shaktishaali aur maharathi hain.","stress, anxiety"
1,7,अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते,"But for your knowledge, O best of the twice-born, let me name the distinguished leaders of my army.","Ab main apni sena ke vishisht yoddhaon ke naam bataata hoon, hey Dwijottam.","""Hey sabse uttam Brahmin, ab aapki jaankari ke liye, main aapko apni sena ke un mukhya yoddhaon ke baare mein batata hoon.""",Duryodhana shifts focus to highlight key warriors on his own side.,GITA_01_07,Gita 1.7,"अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते
But for your knowledge, O best of the twice-born, let me name the distinguished leaders of my army.
Ab main apni sena ke vishisht yoddhaon ke naam bataata hoon, hey Dwijottam.","office politics, overcoming self-doubt"
1,8,भवान्भीष्मश्च कर्णश्च कृपश्च समितिञ्जयः अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च,"These are personalities like yourself, Bhishma, Karna, Kripacharya—ever victorious in battle—Ashwatthama, Vikarna, and also the son of Somadatta.","Aap swayam, Bhishma, Karna, Kripacharya, Ashwatthama, Vikarna aur Somadatta ka putra – yeh sab mahan yoddha hain.","""Aap khud, Bheeshma, Karna, aur yuddh mein hamesha jeetne waale Kripacharya. Saath hi Ashwatthama, Vikarna, aur Somadatta ke bete Bhurishrava.""",He lists trusted veterans and powerful warriors from his own army.,GITA_01_08,Gita 1.8,"भवान्भीष्मश्च कर्णश्च कृपश्च समितिञ्जयः अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च
These are personalities like yourself, Bhishma, Karna, Kripacharya—ever victorious in battle—Ashwatthama, Vikarna, and also the son of Somadatta.
Aap swayam, Bhishma, Karna, Kripacharya, Ashwatthama, Vikarna aur Somadatta ka putra – yeh sab mahan yoddha hain.",office politics
1,9,अन्ये च बहवः शूरा मदर्थे त्यक्तजीविता नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः,"And many other heroes who are prepared to lay down their lives for my sake, all armed with various weapons, and all experienced in military science.","Aur bhi kai shoorveer jo mere liye apni jaan dene ko tayyar hain, vibhinna shastron me nipun.","""Aur bhi bahut se veer hain jo mere liye apni jaan dene ko taiyar hain. Ve sab alag-alag hathiyaron se lais hain aur yuddh-kala mein expert hain.""",Duryodhana boasts about the loyalty and expertise of his fighters.,GITA_01_09,Gita 1.9,"अन्ये च बहवः शूरा मदर्थे त्यक्तजीविता नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः
And many other heroes who are prepared to lay down their lives for my sake, all armed with various weapons, and all experienced in military science.
Aur bhi kai shoorveer jo mere liye apni jaan dene ko tayyar hain, vibhinna shastron me nipun.","office politics, fear of failure"
1,10,अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम् पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम्,"Our strength, protected by Bhishma, is immeasurable, whereas the strength of the Pandavas, protected by Bhima, is limited.","Hamari sena, Bhishma ki raksha me, apar hai; unki sena, Bhima ki raksha me, simit hai.","""Hamari sena ki shakti, jiski raksha Bheeshma kar rahe hain, anant hai, jabki Bheem dwara surakshit Pandavo ki sena seemit lagti hai.""","He shows confidence in his army, downplaying the Pandavas despite earlier worry.",GITA_01_10,Gita 1.10,"अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम् पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम्
Our strength, protected by Bhishma, is immeasurable, whereas the strength of the Pandavas, protected by Bhima, is limited.
Hamari sena, Bhishma ki raksha me, apar hai; unki sena, Bhima ki raksha me, simit hai.","stress, anxiety, doubting mind"
